riff_id,titulo,artista,estilo,nivel_1_5,bpm_practica_inicio,bpm_practica_objetivo,metrica,subdivisiones_por_compas,tonalidad,afinacion,sonido,tecnica_principal,comentario_practica,compases_utiles,tags,compas_01,compas_02,compas_03,compas_04,compas_05,compas_06,compas_07,compas_08,compas_09,compas_10,compas_11,compas_12,compas_13,compas_14,compas_15,compas_16
riff_v4_famous_011_back_in_black,Back in Black - riff principal,AC/DC,hard_rock,3,60,94,4/4,8,E,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-2);4.2(3-4);5.0(5-6),6.3(1-1);6.0(2-2);5.2(3-3);5.0(4-4);6.2(5-5);6.3(6-6);6.0(7-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_012_enter_sandman,Enter Sandman - riff principal,Metallica,metal,3,55,124,4/4,8,Em,EADGBE,distorsion,palm_mute,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"metal,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","6.0(1-1,palm_mute);6.0(2-2,palm_mute);6.0(3-3,palm_mute);5.7(5-5);6.6(6-6);6.5(7-8)","6.0(1-1,palm_mute);6.0(2-2,palm_mute);6.0(3-3,palm_mute);5.7(5-5);6.6(6-6);6.5(7-8)","6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_013_beat_it,Beat It - riff principal,Michael Jackson,pop_rock,3,60,139,4/4,8,Em,EADGBE,distorsion_suave,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"pop_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.3(2-2);6.2(3-3);6.0(4-4);5.2(5-5);6.0(7-7);6.3(8-8),6.2(1-1);6.0(2-2);5.2(3-4);6.0(5-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_014_crazy_train,Crazy Train - riff principal,Ozzy Osbourne,metal,4,60,138,4/4,8,F#m,EADGBE,distorsion,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"metal,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.2(1-1);6.2(2-2);6.5(3-3);6.2(4-4);5.4(5-5);6.2(6-6);5.5(7-7);6.2(8-8),5.4(1-1);6.2(2-2);6.5(3-3);6.2(4-4);5.4(5-5);6.2(6-6);5.5(7-7);6.2(8-8),"6.2(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_015_paranoid,Paranoid - riff principal,Black Sabbath,metal_clasico,3,70,164,4/4,8,Em,EADGBE,distorsion,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"metal_clasico,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","6.0(1-1,palm_mute);6.0(2-2,palm_mute);6.3(3-4);6.5(5-6);6.0(7-8)","6.0(1-1,palm_mute);6.0(2-2,palm_mute);6.3(3-4);6.5(5-6);6.0(7-8)","6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_016_whole_lotta_love,Whole Lotta Love - riff principal,Led Zeppelin,hard_rock,3,60,90,4/4,8,E,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.0(3-3);5.7(5-5);5.5(6-6);6.7(7-8),6.0(1-1);6.0(3-3);5.7(5-5);5.5(6-6);6.7(7-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_017_immigrant_song,Immigrant Song - riff principal,Led Zeppelin,hard_rock,3,68,112,4/4,8,F#m,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.2(1-1);6.2(3-3);6.2(5-5);6.2(7-7),6.2(1-1);6.5(3-3);6.2(5-5);6.5(7-7),"6.2(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_018_la_grange,La Grange - riff principal,ZZ Top,blues_rock,3,60,160,4/4,8,A,EADGBE,crunch,shuffle,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"blues_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.0(1-1);5.0(3-3);4.2(5-5);5.0(7-7),5.3(1-1);5.0(3-3);4.2(5-5);5.0(7-8),"5.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_019_walk_this_way,Walk This Way - riff principal,Aerosmith,funk_rock,4,60,108,4/4,8,A,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"funk_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.0(1-1);5.0(2-2);4.2(3-3);5.0(4-4);4.2(5-5);4.0(6-6);5.2(7-7);5.0(8-8),5.0(1-1);5.0(2-2);4.2(3-3);5.0(4-4);4.2(5-5);4.0(6-6);5.2(7-7);5.0(8-8),"5.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_020_smells_like_teen_spirit,Smells Like Teen Spirit - riff principal,Nirvana,grunge,3,60,117,4/4,8,Fm,EADGBE,distorsion,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"grunge,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.1(1-2);5.1(3-4);6.4(5-6);5.4(7-8),6.1(1-2);5.1(3-4);6.4(5-6);5.4(7-8),"6.1(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_021_brain_stew,Brain Stew - riff principal,Green Day,punk_rock,2,50,76,4/4,8,F#m,EADGBE,distorsion,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"punk_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.2(1-2);6.0(3-4);6.2(5-6);6.0(7-8),5.4(1-2);5.3(3-4);5.2(5-6);6.2(7-8),"6.2(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_022_are_you_gonna_be_my_girl,Are You Gonna Be My Girl - riff principal,Jet,garage_rock,3,70,105,4/4,8,E,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"garage_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.0(2-2);6.3(3-3);6.0(4-4);6.5(5-5);6.0(6-6);6.3(7-7);6.0(8-8),6.0(1-1);6.0(2-2);6.3(3-3);6.0(4-4);6.5(5-5);6.0(6-6);6.3(7-7);6.0(8-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_023_feel_good_inc,Feel Good Inc - riff principal,Gorillaz,alt_pop,2,60,138,4/4,8,Ebm,EADGBE,clean,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"alt_pop,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.6(1-1);5.6(3-3);5.4(5-5);5.2(7-7),5.1(1-1);5.1(3-3);5.2(5-6);5.4(7-8),"5.6(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_024_billie_jean,Billie Jean - riff principal,Michael Jackson,pop_funk,3,70,117,4/4,8,F#m,EADGBE,clean,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"pop_funk,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.2(1-1);4.4(2-2);5.4(3-3);4.4(4-4);5.2(5-5);4.4(6-6);5.4(7-7);4.4(8-8),6.2(1-1);4.4(2-2);5.4(3-3);4.4(4-4);5.2(5-5);4.4(6-6);5.4(7-7);4.4(8-8),"6.2(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_025_come_together,Come Together - riff principal,The Beatles,rock,2,60,84,4/4,8,Dm,EADGBE,clean,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.5(1-1);5.5(3-3);5.3(5-5);5.0(6-8),5.5(1-1);5.5(3-3);5.3(5-5);5.0(6-8),"5.5(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_026_i_feel_fine,I Feel Fine - riff principal,The Beatles,rock,3,60,168,4/4,8,G,EADGBE,clean_crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",2,"rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",4.0(1-1);4.2(2-2);3.0(3-3);4.2(4-4);4.0(5-5);5.3(6-6);5.2(7-8),"6.3(1-8,sustain)",,,,,,,,,,,,,,
riff_v4_famous_027_money_for_nothing,Money for Nothing - riff principal,Dire Straits,rock,4,60,134,4/4,8,Gm,EADGBE,crunch,fingerstyle,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.3(1-1);6.3(3-3);5.1(5-5);5.3(6-6);5.5(7-8),6.3(1-1);6.6(3-3);6.5(4-4);6.3(5-8),"6.3(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_028_my_sharona,My Sharona - riff principal,The Knack,power_pop,3,70,148,4/4,8,E,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"power_pop,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.0(2-2);6.3(3-3);6.0(4-4);6.5(5-5);6.0(6-6);6.3(7-7);6.0(8-8),6.0(1-1);6.0(2-2);6.3(3-3);6.0(4-4);6.5(5-5);6.0(6-6);6.3(7-7);6.0(8-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_029_sweet_child_o_mine,Sweet Child O Mine - riff principal,Guns N Roses,hard_rock,5,50,125,4/4,8,D,EADGBE,clean_chorus,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",4.12(1-1);3.11(2-2);2.10(3-3);1.12(4-4);2.10(5-5);3.11(6-6);2.10(7-7);3.11(8-8),4.12(1-1);3.11(2-2);2.10(3-3);1.12(4-4);2.10(5-5);3.11(6-6);2.10(7-7);3.11(8-8),"4.12(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_030_thunderstruck,Thunderstruck - riff principal,AC/DC,hard_rock,5,50,134,4/4,8,B,EADGBE,clean_crunch,ligados,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","2.0(1-1);2.4(2-2,pull);2.0(3-3);2.7(4-4,pull);2.0(5-5);2.4(6-6,pull);2.0(7-7);2.7(8-8,pull)","2.0(1-1);2.5(2-2,pull);2.0(3-3);2.8(4-4,pull);2.0(5-5);2.5(6-6,pull);2.0(7-8)","2.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_031_house_of_the_rising_sun,House of the Rising Sun - riff principal,The Animals,folk_rock,3,50,90,6/8,6,Am,EADGBE,clean,arpegio,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"folk_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.0(1-1);4.2(2-2);3.2(3-3);2.1(4-4);3.2(5-5);4.2(6-6),6.3(1-1);5.2(2-2);4.0(3-3);3.0(4-4);4.0(5-5);5.2(6-6),5.3(1-1);4.2(2-2);3.0(3-3);2.1(4-4);3.0(5-5);4.2(6-6),"5.0(1-6,sustain)",,,,,,,,,,,,
riff_v4_famous_032_nothing_else_matters,Nothing Else Matters - riff principal,Metallica,balada_metal,3,50,72,6/8,6,Em,EADGBE,clean,arpegio,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"balada_metal,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",1.0(1-1);2.0(2-2);3.0(3-3);2.0(4-4);1.0(5-5);2.0(6-6),1.0(1-1);2.0(2-2);3.0(3-3);2.0(4-4);1.0(5-5);2.0(6-6),"6.0(1-6,sustain)",,,,,,,,,,,,,
riff_v4_famous_033_black_dog,Black Dog - riff principal,Led Zeppelin,hard_rock,4,60,82,4/4,8,A,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","5.0(1-1,palm_mute);5.0(2-2,palm_mute);5.0(3-3,palm_mute);5.3(5-5);4.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.2(3-4);4.1(5-5);4.0(6-6);5.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.5(3-4);4.2(5-6);4.0(7-7);5.0(8-8)","5.0(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_034_kashmir,Kashmir - riff principal,Led Zeppelin,hard_rock,4,55,82,4/4,8,D,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","5.5(1-1,palm_mute);5.5(2-2,palm_mute);5.5(3-3,palm_mute);5.8(5-5);4.5(7-8)","5.5(1-1,palm_mute);5.5(2-2,palm_mute);4.7(3-4);4.6(5-5);4.5(6-6);5.5(7-8)","5.5(1-1,palm_mute);5.5(2-2,palm_mute);4.10(3-4);4.7(5-6);4.5(7-7);5.5(8-8)","5.5(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_035_heartbreaker,Heartbreaker - riff principal,Led Zeppelin,hard_rock,4,60,98,4/4,8,A,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","5.0(1-1,palm_mute);5.0(2-2,palm_mute);5.0(3-3,palm_mute);5.3(5-5);4.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.2(3-4);4.1(5-5);4.0(6-6);5.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.5(3-4);4.2(5-6);4.0(7-7);5.0(8-8)","5.0(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_036_sweet_home_alabama,Sweet Home Alabama - riff principal,Lynyrd Skynyrd,southern_rock,3,60,98,4/4,8,D,EADGBE,clean_crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"southern_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.5(1-2);5.8(3-3);4.5(5-5);4.7(7-8),4.10(1-1);4.7(3-4);4.5(5-5);5.8(7-7);5.5(8-8),5.5(1-1);5.5(3-3);5.8(5-5);4.5(6-6);4.7(7-8),5.5(1-8),,,,,,,,,,,,
riff_v4_famous_037_sweet_emotion,Sweet Emotion - riff principal,Aerosmith,hard_rock,3,60,100,4/4,8,A,EADGBE,clean_crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","5.0(1-1,palm_mute);5.0(2-2,palm_mute);5.0(3-3,palm_mute);5.3(5-5);4.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.2(3-4);4.1(5-5);4.0(6-6);5.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.5(3-4);4.2(5-6);4.0(7-7);5.0(8-8)","5.0(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_038_rumble,Rumble - riff principal,Link Wray,rockabilly,2,50,90,4/4,8,E,EADGBE,tremolo_clean,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"rockabilly,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.3(3-3);5.0(5-5);5.1(6-6);5.2(7-8),5.5(1-2);5.2(3-4);5.0(5-5);6.3(7-7);6.0(8-8),6.0(1-2);5.0(3-4);5.2(5-6);5.5(7-8),6.0(1-8),,,,,,,,,,,,
riff_v4_famous_039_apache,Apache - riff principal,The Shadows,surf_rock,3,60,136,4/4,8,Am,EADGBE,clean_reverb,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"surf_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.0(1-2);5.3(3-3);4.0(5-5);4.2(7-8),4.5(1-1);4.2(3-4);4.0(5-5);5.3(7-7);5.0(8-8),5.0(1-1);5.0(3-3);5.3(5-5);4.0(6-6);4.2(7-8),5.0(1-8),,,,,,,,,,,,
riff_v4_famous_040_misirlou,Misirlou - riff principal,Dick Dale,surf_rock,5,80,172,4/4,8,E,EADGBE,clean_reverb,tremolo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"surf_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-2);6.3(3-3);5.0(5-5);5.2(7-8),5.5(1-1);5.2(3-4);5.0(5-5);6.3(7-7);6.0(8-8),6.0(1-1);6.0(3-3);6.3(5-5);5.0(6-6);5.2(7-8),6.0(1-8),,,,,,,,,,,,
riff_v4_famous_041_pipeline,Pipeline - riff principal,The Chantays,surf_rock,3,70,152,4/4,8,Em,EADGBE,clean_reverb,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"surf_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-2);6.3(3-3);5.0(5-5);5.2(7-8),5.5(1-1);5.2(3-4);5.0(5-5);6.3(7-7);6.0(8-8),6.0(1-1);6.0(3-3);6.3(5-5);5.0(6-6);5.2(7-8),6.0(1-8),,,,,,,,,,,,
riff_v4_famous_042_johnny_b_goode,Johnny B. Goode - riff principal,Chuck Berry,rock_and_roll,4,70,168,4/4,8,Bb,EADGBE,clean_crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"rock_and_roll,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.1(1-2);5.4(3-3);4.1(5-5);4.3(7-8),4.6(1-1);4.3(3-4);4.1(5-5);5.4(7-7);5.1(8-8),5.1(1-1);5.1(3-3);5.4(5-5);4.1(6-6);4.3(7-8),5.1(1-8),,,,,,,,,,,,
riff_v4_famous_043_hound_dog,Hound Dog - riff principal,Elvis Presley,rock_and_roll,2,70,174,4/4,8,C,EADGBE,clean_crunch,shuffle,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"rock_and_roll,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.3(1-2);5.6(3-3);4.3(5-5);4.5(7-8),4.8(1-1);4.5(3-4);4.3(5-5);5.6(7-7);5.3(8-8),5.3(1-1);5.3(3-3);5.6(5-5);4.3(6-6);4.5(7-8),5.3(1-8),,,,,,,,,,,,
riff_v4_famous_044_wild_thing,Wild Thing - riff principal,The Troggs,garage_rock,1,60,100,4/4,8,A,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"garage_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.0(1-2);5.3(3-3);4.0(5-5);4.2(7-8),4.5(1-1);4.2(3-4);4.0(5-5);5.3(7-7);5.0(8-8),5.0(1-1);5.0(3-3);5.3(5-5);4.0(6-6);4.2(7-8),5.0(1-8),,,,,,,,,,,,
riff_v4_famous_045_louie_louie,Louie Louie - riff principal,The Kingsmen,garage_rock,1,60,124,4/4,8,A,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"garage_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.0(1-2);5.3(3-3);4.0(5-5);4.2(7-8),4.5(1-1);4.2(3-4);4.0(5-5);5.3(7-7);5.0(8-8),5.0(1-1);5.0(3-3);5.3(5-5);4.0(6-6);4.2(7-8),5.0(1-8),,,,,,,,,,,,
riff_v4_famous_046_blitzkrieg_bop,Blitzkrieg Bop - riff principal,Ramones,punk_rock,2,80,176,4/4,8,A,EADGBE,distorsion,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"punk_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto","5.0(1-1,palm_mute);5.0(2-2,palm_mute);5.0(3-3,palm_mute);5.3(5-5);4.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.2(3-4);4.1(5-5);4.0(6-6);5.0(7-8)","5.0(1-1,palm_mute);5.0(2-2,palm_mute);4.5(3-4);4.2(5-6);4.0(7-7);5.0(8-8)","5.0(1-8,sustain)",,,,,,,,,,,,
